Test started at 2026-07-29 06:35:07.374309

Running at a PLC of 1
DMM2 at voltage range of 0.1V from here -
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32
-2.1725786999999987e-07 , 1.7083431000000028e-07 , 4.02997362e-05 , 2.86798863e-06 , 3.0852465e-06 , -2.93169254e-06 , -3.10252685e-06 , 2.5245237e-05 , -1.50544992e-05
7.990749200000002e-07 , -1.4193812000000007e-07 , 4.30790284e-05 , 3.12080199e-06 , 2.32172707e-06 , -3.28491965e-06 , -3.14298153e-06 , 1.27384224e-05 , -3.0340606e-05
-4.855401799999999e-07 , -1.9233307999999998e-07 , 9.959130200000003e-06 , 2.51012497e-06 , 2.99566515e-06 , -3.02138633e-06 , -2.82905325e-06 , 7.04087345e-05 , 6.04496043e-05
-8.219320199999998e-07 , 5.917940999999985e-08 , -7.04087345e-05 , 2.33442546e-06 , 3.15635748e-06 , -2.81402723e-06 , -2.87320664e-06 , -1.50544992e-05 , 5.53542353e-05
-4.202011999999991e-08 , 3.088425499999999e-07 , -6.55449732e-05 , 2.58331386e-06 , 2.62533398e-06 , -2.99988756e-06 , -3.30873011e-06 , 1.01907379e-05 , 7.57357111e-05
1.339102700000003e-07 , -3.8004277999999993e-07 , 3.311989814e-05 , 3.19399088e-06 , 3.06008061e-06 , -3.35334584e-06 , -2.97330306e-06 , 5.09536894e-06 , -2.80245292e-05
7.226536999999967e-08 , -1.9256426000000002e-07 , -5.81335275e-05 , 2.98435204e-06 , 2.91208667e-06 , -2.98601739e-06 , -2.79345313e-06 , 2.75613138e-05 , 8.56948413e-05
2.4265464999999984e-07 , -1.6204987999999999e-07 , 4.5163497429999996e-05 , 2.84143746e-06 , 2.59878281e-06 , -3.04681499e-06 , -2.88476511e-06 , -2.54768447e-06 , -4.77111819e-05
-4.806917100000001e-07 , -6.565216000000017e-08 , 0.00010584470939999999 , 2.54037022e-06 , 3.02106193e-06 , -2.80223758e-06 , -2.73658542e-06 , 2.5245237e-05 , -8.05994724e-05
3.539387099999997e-07 , 5.263731200000001e-07 , -7.596731879999999e-05 , 2.98920052e-06 , 2.63526181e-06 , -2.62030712e-06 , -3.14668024e-06 , -1.52861068e-05 , 6.0681212e-05
