Test started at 2026-07-29 09:45:40.589254,,,,,,,,,,,,
,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
-2.81E-08,1.74E-07,-1.13E-05,-1.68E-06,-1.65E-06,-1.18E-05,-1.19E-05,2.36E-06,1.37E-05,Min,0.0000%,0.0000%,-0.0030%
5.44E-08,2.62E-08,2.08E-07,-1.59E-06,-1.64E-06,-1.19E-05,-1.19E-05,6.39E-06,6.18E-06,Spread,0.0001%,0.0000%,0.0073%
-7.31E-08,-9.98E-08,-2.34E-05,-1.71E-06,-1.64E-06,-1.20E-05,-1.19E-05,-5.47E-06,1.79E-05,,,,
1.22E-07,4.30E-08,7.09E-06,-1.57E-06,-1.69E-06,-1.19E-05,-1.20E-05,1.87E-05,1.16E-05,,,,
9.16E-08,7.63E-08,1.31E-05,-1.62E-06,-1.71E-06,-1.21E-05,-1.21E-05,2.23E-05,9.19E-06,,,,
2.17E-07,1.87E-07,2.43E-06,-1.61E-06,-1.83E-06,-1.19E-05,-1.21E-05,2.00E-05,1.76E-05,,,,
4.78E-08,2.05E-07,1.27E-05,-1.80E-06,-1.85E-06,-1.19E-05,-1.21E-05,3.00E-05,1.73E-05,,,,
-3.51E-09,5.40E-08,-5.86E-06,-1.65E-06,-1.64E-06,-1.21E-05,-1.21E-05,-9.31E-06,-3.45E-06,,,,
4.53E-08,3.47E-08,3.98E-05,-1.61E-06,-1.66E-06,-1.20E-05,-1.21E-05,3.08E-05,-9.03E-06,,,,
2.05E-07,-1.08E-07,8.11E-06,-1.52E-06,-1.73E-06,-1.24E-05,-1.22E-05,8.71E-06,6.02E-07,,,,
-1.12E-07,1.98E-07,-1.52E-05,-1.67E-06,-1.55E-06,-1.21E-05,-1.23E-05,1.10E-05,2.62E-05,,,,
1.64E-07,9.85E-09,-1.73E-05,-1.52E-06,-1.68E-06,-1.22E-05,-1.22E-05,1.30E-05,3.03E-05,,,,
4.65E-08,-8.03E-08,9.08E-06,-1.54E-06,-1.58E-06,-1.24E-05,-1.23E-05,9.68E-06,6.02E-07,,,,
-1.10E-07,1.76E-09,2.56E-05,-1.54E-06,-1.43E-06,-1.23E-05,-1.23E-05,2.06E-05,-5.05E-06,,,,
2.22E-09,1.29E-08,-9.73E-07,-1.48E-06,-1.48E-06,-1.23E-05,-1.23E-05,3.45E-05,3.55E-05,,,,
-7.39E-10,-5.02E-08,-5.67E-06,-1.69E-06,-1.69E-06,-1.23E-05,-1.22E-05,1.55E-05,2.11E-05,,,,
-2.58E-07,-1.74E-07,9.45E-06,-1.56E-06,-1.30E-06,-1.23E-05,-1.22E-05,1.99E-05,1.05E-05,,,,
1.53E-07,-1.95E-07,3.57E-06,-1.29E-06,-1.45E-06,-1.25E-05,-1.23E-05,9.19E-06,5.63E-06,,,,
-2.36E-07,1.90E-07,1.76E-05,-1.47E-06,-1.24E-06,-1.22E-05,-1.24E-05,3.18E-05,1.42E-05,,,,
8.10E-09,7.72E-08,1.86E-05,-1.36E-06,-1.36E-06,-1.23E-05,-1.24E-05,9.38E-06,-9.19E-06,,,,
-1.07E-07,-1.42E-07,7.27E-06,-1.36E-06,-1.25E-06,-1.24E-05,-1.22E-05,2.80E-05,2.07E-05,,,,
1.10E-08,-4.53E-08,5.37E-06,-1.25E-06,-1.26E-06,-1.24E-05,-1.23E-05,1.13E-05,5.88E-06,,,,
-9.15E-08,6.83E-08,4.31E-05,-1.30E-06,-1.21E-06,-1.24E-05,-1.25E-05,3.59E-05,-7.30E-06,,,,
2.72E-07,-8.18E-08,-4.40E-06,-1.07E-06,-1.34E-06,-1.25E-05,-1.24E-05,-2.71E-06,1.69E-06,,,,
-9.23E-08,-4.69E-08,1.03E-05,-1.26E-06,-1.17E-06,-1.25E-05,-1.25E-05,2.08E-07,-1.01E-05,,,,
-1.27E-07,9.95E-08,1.89E-05,-1.29E-06,-1.16E-06,-1.24E-05,-1.25E-05,1.25E-05,-6.46E-06,,,,
-1.04E-07,1.90E-07,2.11E-05,-1.19E-06,-1.09E-06,-1.24E-05,-1.26E-05,1.61E-05,-4.98E-06,,,,
-1.22E-07,-7.56E-08,-2.04E-05,-1.28E-06,-1.16E-06,-1.26E-05,-1.25E-05,-2.07E-05,-3.01E-07,,,,
3.48E-08,-2.11E-08,4.86E-06,-1.03E-06,-1.06E-06,-1.25E-05,-1.25E-05,-3.71E-06,-8.57E-06,,,,
1.14E-07,1.59E-07,-1.94E-05,-1.14E-06,-1.25E-06,-1.25E-05,-1.27E-05,1.05E-05,2.99E-05,,,,
1.87E-07,2.32E-08,2.10E-05,-9.71E-07,-1.16E-06,-1.26E-05,-1.26E-05,1.12E-05,-9.77E-06,,,,
-1.40E-07,4.62E-10,-2.12E-05,-1.15E-06,-1.01E-06,-1.26E-05,-1.26E-05,-1.67E-06,1.95E-05,,,,
-8.03E-08,1.41E-07,-3.00E-05,-1.02E-06,-9.38E-07,-1.25E-05,-1.26E-05,7.18E-07,3.07E-05,,,,
2.07E-07,-4.87E-08,-1.54E-05,-8.71E-07,-1.08E-06,-1.26E-05,-1.26E-05,-8.08E-06,7.30E-06,,,,
